Datum,Stanice,Třída objektu,Počet
03.01.2024 20:00,Novinářská x 28. října - od Vítkovic,Velké,1
03.01.2024 20:00,Novinářská x 28. října - od centra,Ostatní,10
03.01.2024 20:00,Novinářská x 28. října - od Poruby,Ostatní,24
03.01.2024 20:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,10
03.01.2024 20:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,15
03.01.2024 20:00,Hlučínská x Slovenská - od Švermy,Ostatní,40
03.01.2024 20:00,Hlučínská x Slovenská - od Přívozu,Ostatní,27
03.01.2024 20:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,6
03.01.2024 20:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,1
03.01.2024 20:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,1
03.01.2024 21:00,Novinářská x 28. října - od Fifejd,Ostatní,25
03.01.2024 21:00,Novinářská x 28. října - od Fifejd,Velké,1
03.01.2024 21:00,Novinářská x 28. října - od Vítkovic,Ostatní,11
03.01.2024 21:00,Novinářská x 28. října - od Vítkovic,Velké,1
03.01.2024 21:00,Novinářská x 28. října - od centra,Ostatní,3
03.01.2024 21:00,Novinářská x 28. října - od Poruby,Ostatní,21
03.01.2024 21:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,14
03.01.2024 21:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,16
03.01.2024 21:00,Hlučínská x Slovenská - od Švermy,Ostatní,42
03.01.2024 21:00,Hlučínská x Slovenská - od Přívozu,Ostatní,19
03.01.2024 21:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,4
03.01.2024 21:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,3
03.01.2024 21:00,Českobratrská x Sokolská třída - od konzervatoře,Velké,1
03.01.2024 22:00,Novinářská x 28. října - od Fifejd,Ostatní,36
03.01.2024 22:00,Novinářská x 28. října - od Fifejd,Velké,1
03.01.2024 22:00,Novinářská x 28. října - od Vítkovic,Ostatní,11
03.01.2024 22:00,Novinářská x 28. října - od Vítkovic,Velké,2
03.01.2024 22:00,Novinářská x 28. října - od Poruby,Ostatní,8
03.01.2024 22:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Ostatní,8
03.01.2024 22:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,16
03.01.2024 22:00,Hlučínská x Slovenská - od Švermy,Ostatní,26
03.01.2024 22:00,Hlučínská x Slovenská - od Přívozu,Ostatní,21
03.01.2024 22:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,10
03.01.2024 22:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,4
03.01.2024 22:00,Českobratrská x Sokolská třída - od konzervatoře,Ostatní,1
03.01.2024 23:00,Novinářská x 28. října - od Fifejd,Ostatní,15
03.01.2024 23:00,Novinářská x 28. října - od Vítkovic,Ostatní,4
03.01.2024 23:00,Novinářská x 28. října - od Vítkovic,Velké,1
03.01.2024 23:00,Novinářská x 28. října - od centra,Ostatní,3
03.01.2024 23:00,Novinářská x 28. října - od Poruby,Ostatní,2
03.01.2024 23:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,3
03.01.2024 23:00,Hlučínská x Slovenská - od Švermy,Ostatní,15
03.01.2024 23:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,5
03.01.2024 23:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,2
04.01.2024 0:00,Novinářská x 28. října - od Fifejd,Ostatní,4
04.01.2024 0:00,Novinářská x 28. října - od Poruby,Ostatní,1
04.01.2024 0:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,2
04.01.2024 0:00,Hlučínská x Slovenská - od Švermy,Ostatní,6
04.01.2024 0:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Ostatní,3
04.01.2024 0:00,Českobratrská x Sokolská třída - od Mostu M. Sýkory,Velké,1
04.01.2024 1:00,Novinářská x 28. října - od Fifejd,Ostatní,3
04.01.2024 1:00,Novinářská x 28. října - od Poruby,Ostatní,2
04.01.2024 1:00,Bohumínská x 28. října - výjezd z mostu M. Sýkory,Velké,3
04.01.2024 1:00,Hlučínská x Slovenská - od Švermy,Ostatní,11
